day,month,year,x,y,data_source,data_source2,presence_absence,weights
1,12,2003,28.1905,-27.8288,ICOSAMP,controldata,1,0.95706746
1,12,2003,27.8013,-25.1959,ICOSAMP,controldata,0,0.584705762
13,9,2003,27.0403,-27.4705,ICOSAMP,controldata,0,0.974725805
2,12,2003,28.3777,-27.8375,ICOSAMP,controldata,1,0.959639393
4,12,2003,28.5398,-27.8039,ICOSAMP,controldata,1,0.948473645
16,12,2003,29.2504,-26.0755,ICOSAMP,controldata,0,0.681825488
26,11,2003,30.1394,-28.6799,ICOSAMP,controldata,0,0.944890961
18,11,2003,27.854,-27.1373,ICOSAMP,controldata,0,0.934463913
27,11,2003,27.6073,-26.6755,ICOSAMP,controldata,0,0.710561003
10,5,2003,28.5234,-28.7289,EBIRD,gbifdata,0,0.977254461
10,5,2003,28.7487,-25.3412,ICOSAMP,controldata,0,0.759979639
10,5,2003,28.0037,-23.5814,ICOSAMP,controldata,0,0.973887728
8,3,2003,30.599566,-27.831509,EBIRD,gbifdata,1,0.925703263
8,12,2003,30.7744,-25.0007,ICOSAMP,controldata,0,0.647189627
22,12,2003,28.238,-23.706,ICOSAMP,controldata,0,0.970543321
12,1,2003,28.692856,-24.653257,EBIRD,gbifdata,1,0.696538606
19,3,2003,26.9796,-23.1787,EBIRD,gbifdata,0,0.99471835
13,1,2003,28.692856,-24.653257,EBIRD,gbifdata,1,0.696538606
13,1,2003,29.4831,-23.9597,EBIRD,gbifdata,1,0.930309363
13,1,2003,28.3386,-24.9389,ICOSAMP,controldata,1,0.577265177
13,1,2003,28.3639,-26.9554,ICOSAMP,controldata,0,0.706772759
13,1,2003,29.0373,-26.3374,ICOSAMP,controldata,0,0.654469466
19,12,2003,25.4627,-27.7135,ICOSAMP,controldata,0,0.989273867
5,3,2003,29.7233,-22.2665,EBIRD,gbifdata,0,0.975441605
5,3,2003,27.1227,-27.8541,ICOSAMP,controldata,1,0.995214719
14,1,2003,31.098665,-22.73766,EBIRD,gbifdata,1,0.826519495
3,3,2003,29.1553,-27.0122,NfA-yearpos5AC,controldata,1,0.921381879
3,3,2003,29.1537,-27.0064,NfA-yearpos5AC,controldata,1,0.921381879
3,3,2003,29.1988,-27.0202,NfA-yearpos5AC,controldata,1,0.921381879
3,3,2003,29.0263,-26.9324,ICOSAMP,controldata,1,0.927182125
3,3,2003,29.0097,-26.9243,ICOSAMP,controldata,1,0.880083588
3,3,2003,28.9775,-26.9217,ICOSAMP,controldata,1,0.909901945
3,3,2003,29.1553,-27.0122,ICOSAMP,controldata,1,0.921381879
3,3,2003,29.1537,-27.0064,ICOSAMP,controldata,1,0.921381879
3,3,2003,29.1988,-27.0202,ICOSAMP,controldata,1,0.921381879
28,3,2003,32.8966,-23.1581,EBIRD,gbifdata,0,1
28,3,2003,26.9561,-25.3716,ICOSAMP,controldata,0,0.932342067
15,1,2003,31.268978,-22.438322,EBIRD,gbifdata,1,0.830020183
15,1,2003,28.3151,-25.0416,ICOSAMP,controldata,1,0.552764829
16,1,2003,30.977669,-22.662592,EBIRD,gbifdata,1,0.826519495
16,1,2003,28.3149,-25.0552,ICOSAMP,controldata,1,0.552764829
17,2,2003,22.497,-27.7479,EBIRD,gbifdata,0,0.988828163
16,4,2003,22.897192,-25.781012,EBIRD,gbifdata,1,0.996061726
16,4,2003,26.8285,-24.2263,ICOSAMP,controldata,0,0.978701173
3,4,2003,31.7003,-24.9067,EBIRD,gbifdata,0,0.85512414
9,11,2003,33.1138,-22.3548,EBIRD,gbifdata,0,1
6,3,2003,26.0424,-28.2298,NfA-yearpos5AC,controldata,1,0.996238547
6,3,2003,26.0424,-28.2298,ICOSAMP,controldata,1,0.996238547
6,3,2003,29.0263,-26.9324,ICOSAMP,controldata,1,0.927182125
6,3,2003,29.0097,-26.9243,ICOSAMP,controldata,1,0.880083588
6,3,2003,28.9775,-26.9217,ICOSAMP,controldata,1,0.909901945
1,4,2003,22.361111,-19.026389,NfA-yearpos5AC,controldata,1,0.910393113
1,4,2003,22.36111,-19.02639,ICOSAMP,controldata,1,0.910393113
2,2,2003,29.7219,-25.6885,EBIRD,gbifdata,0,0.881195413
19,4,2003,27.794216,-25.118868,EBIRD,gbifdata,1,0.773874414
10,3,2003,28.3123,-25.0364,NfA-yearpos5AC,controldata,1,0.659660826
10,3,2003,28.3123,-25.0364,ICOSAMP,controldata,1,0.659660826
18,3,2003,27.1227,-27.8541,NfA-yearpos5AC,controldata,1,0.995214719
18,3,2003,27.1227,-27.8541,ICOSAMP,controldata,1,0.995214719
20,3,2003,29.4935,-26.8984,NfA-yearpos5AC,controldata,1,0.921292981
20,3,2003,29.4717,-26.8694,NfA-yearpos5AC,controldata,1,0.9145475
20,3,2003,29.4717,-26.8694,ICOSAMP,controldata,1,0.9145475
20,3,2003,29.4935,-26.8984,ICOSAMP,controldata,1,0.921292981
20,3,2003,29.4717,-26.8694,ICOSAMP,controldata,1,0.9145475
25,3,2003,29.1785,-26.7507,NfA-yearpos5AC,controldata,1,0.863380632
25,3,2003,29.1785,-26.7507,ICOSAMP,controldata,1,0.863380632
27,3,2003,28.0028,-27.3166,NfA-yearpos5AC,controldata,1,0.965556546
27,3,2003,28.0642,-27.4972,NfA-yearpos5AC,controldata,1,0.968765843
27,3,2003,27.3095,-27.9616,NfA-yearpos5AC,controldata,1,0.995043669
27,3,2003,28.0028,-27.3166,ICOSAMP,controldata,1,0.965556546
27,3,2003,28.0642,-27.4972,ICOSAMP,controldata,1,0.968765843
27,3,2003,27.3095,-27.9616,ICOSAMP,controldata,1,0.995043669
26,2,2003,32.98806,-24.52139,ICOSAMP,controldata,1,0.999678508
26,2,2003,32.98806,-24.52139,ICOSAMP,controldata,1,0.999678508
26,2,2003,29.0812,-24.8048,ICOSAMP,controldata,1,0.811351337
26,2,2003,29.0812,-24.8048,ICOSAMP,controldata,1,0.811351337
26,2,2003,30.0462,-26.6833,EBIRD,gbifdata,0,0.901462787
14,2,2003,28.3374,-23.814,ICOSAMP,controldata,0,0.946324278
14,2,2003,25.08333,-25.33333,ICOSAMP,controldata,1,0.9946552
11,4,2003,28.4433,-25.0482,ICOSAMP,controldata,1,0.786938668
11,4,2003,29.6918,-24.1034,ICOSAMP,controldata,0,0.977334834
11,4,2003,26.0024,-26.315,ICOSAMP,controldata,0,0.98063743
11,4,2003,28.8022,-24.8374,ICOSAMP,controldata,1,0.833158162
